,codmunicipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNICIPIO,codptore,DPTO
189,13836,0,2,2,1,3,2,2,4,2,4,2,1,1,1,8,3,5,6,2,6,3,turbaco,13,Bolivar
190,13838,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,turbana,13,Bolivar
191,13873,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,2,1,0,villanueva,13,Bolivar
192,13894,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,1,0,1,2,zambrano,13,Bolivar
193,15001,3,2,10,5,5,4,2,6,8,8,5,6,11,8,9,7,9,14,13,14,16,tunja,15,Boyaca
194,15047,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,aquitania,15,Boyaca
195,15051,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,arcabuco,15,Boyaca
196,15087,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,belen,15,Boyaca
197,15090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,berbeo,15,Boyaca
198,15092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,beteitiva,15,Boyaca
199,15097,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,boavita,15,Boyaca
200,15104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,boyaca,15,Boyaca
201,15106,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,briceno,15,Boyaca
202,15109,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,buenavista,15,Boyaca
203,15114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,busbanza,15,Boyaca
204,15135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,campohermoso,15,Boyaca
205,15162,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,cerinza,15,Boyaca
206,15172,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,chinavita,15,Boyaca
207,15176,1,0,1,2,1,0,3,3,1,2,1,6,1,8,7,4,6,3,1,0,3,chiquinquira,15,Boyaca
208,15180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,chiscas,15,Boyaca
209,15183,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,chita,15,Boyaca
210,15185,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,chitaraque,15,Boyaca
211,15187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,chivata,15,Boyaca
212,15189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,cienega,15,Boyaca
213,15204,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,combita,15,Boyaca
214,15212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,coper,15,Boyaca
215,15218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,covarachia,15,Boyaca
216,15224,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,cucaita,15,Boyaca
217,15226,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cuitiva,15,Boyaca
218,15232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,chiquiza,15,Boyaca
219,15236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,chivor,15,Boyaca
220,15238,2,3,2,4,3,1,5,3,4,4,6,4,10,6,12,2,4,12,11,7,9,duitama,15,Boyaca
221,15244,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,el cocuy,15,Boyaca
222,15248,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,el espino,15,Boyaca
223,15272,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,firavitoba,15,Boyaca
224,15276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,floresta,15,Boyaca
225,15293,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,gachantiva,15,Boyaca
226,15296,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,gameza,15,Boyaca
