,DPMP,mort_1998,mort_1999,mort_2000,mort_2001,mort_2002,mort_2003,mort_2004,mort_2005,mort_2006,mort_2007,mort_2008,mort_2009,mort_2010,mort_2011,mort_2012,mort_2013,mort_2014,mort_2015,mort_2016,mort_2017,mort_2018,TAE_1998,TAE_1999,TAE_2000,TAE_2001,TAE_2002,TAE_2003,TAE_2004,TAE_2005,TAE_2006,TAE_2007,TAE_2008,TAE_2009,TAE_2010,TAE_2011,TAE_2012,TAE_2013,TAE_2014,TAE_2015,TAE_2016,TAE_2017,TAE_2018,MPIO
31,05147,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,14.41527446300716,12.989247311827958,0.0,0.0,0.0,0.0,0.0,15.76271186440678,0.0,0.0,6.441441441441442,18.2,18.110924502259856,15.119047619047617,9.489795918367347,24.957752911623658,9.160414248205822,31.389411830836615,0.0,14.414983164983166,8.875502008032127,Carepa
32,05148,2.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,12.464114832535884,7.4590163934426235,7.076205287713841,18.54874476241239,0.0,5.909090909090909,16.431384519619815,11.743424523019243,0.0,0.0,0.0,0.0,8.043737745462721,0.0,7.19818163344903,3.720359771054783,7.117134694446381,7.092990305741983,3.9605734767025087,0.0,6.309877466231121,El carmen de viboral
33,05150,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.7721705046546,0.0,0.0,0.0,0.0,0.0,0.0,43.30645161290322,35.34883720930233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carolina
34,05154,1.0,2.0,2.0,7.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0,7.032136105860113,11.846281787543223,11.725628028779308,29.572716764139102,14.40384446471403,3.1217432496447177,4.114942528735632,18.191593352883675,6.162934045613314,9.08496732026144,6.409593525821858,4.722222222222222,0.0,5.549121202885299,6.224133076814791,8.396099352149344,7.777206511023596,15.521500247107856,9.34189309913214,8.664688800897348,11.098335204953912,Caucasia
35,05172,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,32.53620371613742,0.0,5.280649926144758,11.518987341772151,0.0,0.0,0.0,0.0,0.0,3.578580757509796,16.973206639207213,7.914893617021278,8.10958904109589,5.40785498489426,26.48903630727284,6.981132075471697,0.0,0.0,0.0,16.289611930181326,7.019266104626027,Chigorodó
36,05190,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55251520176893,0.0,0.0,0.0,0.0,0.0,0.0,17.411764705882355,0.0,15.655976676384839,13.18840579710145,13.18840579710145,0.0,0.0,0.0,Cisneros
37,05197,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.767441860465114,0.0,0.0,0.0,21.968503937007874,11.518987341772151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08,10.571428571428571,0.0,Cocorná
38,05206,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.33333333333333,0.0,35.32163742690059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.44289391905124,0.0,0.0,32.98507462686567,0.0,0.0,0.0,0.0,Concepción
39,05209,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,9.62043795620438,14.726368159203979,0.0,0.0,0.0,13.962264150943394,11.689708141321045,13.451327433628318,12.384937238493723,0.0,12.88135593220339,10.422535211267608,0.0,18.137991685321396,0.0,40.496537224373526,15.90469993105425,7.560975609756099,16.779341820460242,Concordia
40,05212,3.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,7.0,4.0,6.0,5.0,2.0,4.0,7.0,4.0,4.0,5.0,5.0,7.0,12.456051939673053,9.38134075989656,16.022720508416427,5.346581997918141,9.998557504873293,11.378466318902154,12.651367344404488,7.154724903496508,10.566915620691805,21.395517451107313,11.23128634964078,18.7854681163596,15.186138586918931,5.267492061075804,9.759134426640847,15.734091375881558,8.29196803054371,9.03243437629995,9.660474460517566,9.447138172081171,12.697508748729401,Copacabana
41,05234,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14.757281553398059,28.884713164584944,14.130434782608694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.097560975609756,13.154761904761903,12.091743119266054,0.0,22.375207248891464,12.542372881355933,Dabeiba
42,05237,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,38.723404255319146,0.0,0.0,15.1,23.396226415094343,0.0,12.7,0.0,36.0497026479285,15.582191780821915,13.292079207920793,0.0,0.0,25.596904937361828,22.00793513886493,0.0,0.0,8.817733990147783,0.0,0.0,28.179336049171788,Donmatías
43,05240,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.593155893536123,0.0,0.0,0.0,13.274725274725274,0.0,0.0,0.0,0.0,0.0,15.578947368421051,0.0,18.430392976588628,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,19.19948044845502,Ebéjico
44,05250,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,12.624505381449826,6.647108130762783,5.7707828894269575,10.833333333333332,9.680851063829788,0.0,0.0,0.0,5.671361502347418,16.0517717107174,19.304533918355055,21.41490949804068,0.0,14.87946878147029,10.559621413354455,9.89367332183468,0.0,0.0,18.83028528639572,El bagre
45,05264,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,48.52459016393443,0.0,0.0,0.0,0.0,0.0,26.491228070175435,0.0,0.0,44.384714878939846,0.0,0.0,0.0,0.0,0.0,36.653651885593874,21.502890173410407,0.0,27.636363636363637,16.94006309148265,71.22796757783269,Entrerríos
46,05266,12.0,10.0,11.0,8.0,9.0,14.0,19.0,15.0,13.0,14.0,15.0,18.0,19.0,18.0,25.0,27.0,17.0,21.0,15.0,24.0,28.0,14.158334256536584,11.824617591032462,13.067482510609793,7.964658205248908,9.5308764391077,13.64165708181487,18.32249161878583,13.396829551919197,11.647588637662025,11.006805177434774,12.660265230192085,14.02407863433607,14.300101971765281,12.073325213023328,16.91173648058902,17.738214609977,9.632912237199523,12.090237195019728,8.467546084494375,12.763828933119635,14.136776307573411,Envigado
