,codmunre,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,codmunicipio,MUNICIPIO,codptore,DPTO
130,08436,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,08436,manatí,08,Atlántico
131,08520,0,1,0,0,0,0,0,2,1,0,1,2,0,0,2,4,0,0,4,0,3,08520,palmar de varela,08,Atlántico
132,08549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,08549,piojó,08,Atlántico
133,08558,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,08558,polonuevo,08,Atlántico
134,08560,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,2,0,2,2,0,1,08560,ponedera,08,Atlántico
135,08573,0,1,1,0,1,0,1,1,3,2,1,1,2,1,0,1,3,2,1,0,4,08573,puerto colombia,08,Atlántico
136,08606,1,1,0,1,2,0,0,0,0,0,1,1,0,0,1,1,0,2,2,2,2,08606,repelón,08,Atlántico
137,08634,0,0,1,1,1,1,1,2,2,0,2,0,2,0,2,1,0,3,1,1,0,08634,sabanagrande,08,Atlántico
138,08638,0,4,2,2,3,5,1,2,0,2,3,6,2,2,5,5,6,3,6,3,5,08638,sabanalarga,08,Atlántico
139,08675,1,0,5,0,0,0,0,3,1,2,0,0,0,0,1,0,0,2,0,0,0,08675,santa lucía,08,Atlántico
140,08685,0,0,3,0,2,3,2,1,1,0,0,2,4,2,0,1,1,1,4,1,4,08685,santo tomás,08,Atlántico
141,08758,5,5,12,10,11,9,17,17,12,23,19,14,16,16,21,21,29,37,41,42,46,08758,soledad,08,Atlántico
142,08770,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,08770,suan,08,Atlántico
143,08832,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,08832,tubará,08,Atlántico
144,08849,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,08849,usiacurí,08,Atlántico
145,11001,269,282,265,324,366,363,387,358,345,442,390,428,439,443,475,450,466,493,543,534,537,11001,bogotá,11,Bogotá
146,13001,40,37,35,45,38,60,48,41,46,54,62,49,64,59,74,55,62,64,85,96,90,13001,cartagena de indias,13,Bolivar
147,13006,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,13006,achí,13,Bolivar
148,13030,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,13030,altos del rosario,13,Bolivar
149,13042,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,13042,arenal,13,Bolivar
150,13052,1,3,0,0,3,1,1,1,5,2,2,2,4,2,2,3,2,4,2,2,7,13052,arjona,13,Bolivar
151,13062,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13062,arroyohondo,13,Bolivar
152,13074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,13074,barranco de loba,13,Bolivar
153,13140,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,13140,calamar,13,Bolivar
154,13160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13160,cantagallo,13,Bolivar
155,13188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13188,cicuco,13,Bolivar
156,13212,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13212,córdoba,13,Bolivar
157,13222,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,13222,clemencia,13,Bolivar
158,13244,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4,3,2,2,6,2,13244,el carmen de bolívar,13,Bolivar
159,13248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13248,el guamo,13,Bolivar
160,13268,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,13268,el peñón,13,Bolivar
161,13300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13300,hatillo de loba,13,Bolivar
162,13430,4,4,5,6,4,1,8,6,3,0,6,3,6,7,4,4,3,9,5,1,3,13430,magangué,13,Bolivar
163,13433,0,0,0,1,0,1,1,3,1,0,0,2,0,0,1,0,1,1,0,2,1,13433,mahates,13,Bolivar
164,13440,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,13440,margarita,13,Bolivar
165,13442,0,1,0,0,0,1,0,0,1,0,2,3,2,0,3,1,2,1,4,4,2,13442,maría la baja,13,Bolivar
166,13468,0,0,0,2,2,0,1,3,2,1,0,1,1,2,0,1,1,1,3,1,1,13468,santa cruz de mompox,13,Bolivar
167,13473,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13473,morales,13,Bolivar
168,13549,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,13549,pinillos,13,Bolivar
169,13580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13580,regidor,13,Bolivar
170,13600,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13600,río viejo,13,Bolivar
171,13620,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,13620,san cristóbal,13,Bolivar
172,13647,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,1,13647,san estanislao,13,Bolivar
173,13650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,13650,san fernando,13,Bolivar
174,13654,0,1,0,0,1,1,2,0,2,0,1,0,1,2,0,1,0,1,3,3,0,13654,san jacinto,13,Bolivar
175,13657,1,0,2,2,0,0,0,0,2,3,0,1,2,0,0,1,1,0,1,3,0,13657,san juan nepomuceno,13,Bolivar
176,13667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,13667,san martín de loba,13,Bolivar
177,13670,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,2,2,1,0,13670,san pablo,13,Bolivar
178,13673,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,13673,santa catalina,13,Bolivar
179,13683,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,13683,santa rosa,13,Bolivar
180,13688,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,2,0,1,1,0,0,13688,santa rosa del sur,13,Bolivar
181,13744,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,2,13744,simití,13,Bolivar
182,13760,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,13760,soplaviento,13,Bolivar
183,13780,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,13780,talaigua nuevo,13,Bolivar
184,13810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,13810,tiquisio,13,Bolivar
185,13836,0,2,2,1,3,2,2,4,2,4,2,1,1,1,8,3,5,6,2,6,3,13836,turbaco,13,Bolivar
